tourney_date,surface,winner_id,loser_id,w_ace,l_ace,winner_rank,loser_rank,tourney_name,winner_ht,loser_ht,winner_hand,loser_hand
2023-01-09,Hard,126952,105138,11.0,5.0,84.0,26.0,Adelaide 2,180.0,183.0,R,R
2023-01-09,Hard,105138,106423,7.0,20.0,26.0,110.0,Adelaide 2,183.0,193.0,R,R
2023-01-09,Hard,126952,207733,13.0,18.0,84.0,40.0,Adelaide 2,180.0,193.0,R,L
2023-01-09,Hard,106423,200175,22.0,3.0,110.0,28.0,Adelaide 2,193.0,183.0,R,R
2023-01-09,Hard,105138,200221,6.0,2.0,26.0,32.0,Adelaide 2,183.0,183.0,R,R
2023-01-09,Hard,207733,111575,10.0,8.0,40.0,20.0,Adelaide 2,193.0,198.0,L,R
2023-01-09,Hard,126952,144707,5.0,1.0,84.0,77.0,Adelaide 2,180.0,183.0,R,R
2023-01-09,Hard,106423,126094,17.0,10.0,110.0,6.0,Adelaide 2,193.0,188.0,R,R
2023-01-09,Hard,200175,106186,14.0,19.0,28.0,86.0,Adelaide 2,183.0,178.0,R,R
2023-01-09,Hard,105138,104898,11.0,6.0,26.0,257.0,Adelaide 2,183.0,191.0,R,R
2023-01-09,Hard,200221,105357,4.0,1.0,32.0,148.0,Adelaide 2,183.0,183.0,R,R
2023-01-09,Hard,207733,126205,10.0,5.0,40.0,35.0,Adelaide 2,193.0,185.0,L,R
2023-01-09,Hard,111575,144817,5.0,2.0,20.0,55.0,Adelaide 2,198.0,196.0,R,L
2023-01-09,Hard,144707,111456,4.0,5.0,77.0,63.0,Adelaide 2,183.0,178.0,R,R
2023-01-09,Hard,126952,105807,11.0,10.0,84.0,15.0,Adelaide 2,180.0,188.0,R,R
2023-01-09,Hard,106423,200615,11.0,11.0,110.0,113.0,Adelaide 2,193.0,196.0,R,R
2023-01-09,Hard,106186,144869,10.0,10.0,86.0,80.0,Adelaide 2,178.0,196.0,R,R
2023-01-09,Hard,200175,106378,7.0,11.0,28.0,583.0,Adelaide 2,183.0,188.0,R,R
2023-01-09,Hard,104898,126127,13.0,16.0,257.0,50.0,Adelaide 2,191.0,183.0,R,R
2023-01-09,Hard,105357,105077,7.0,7.0,148.0,38.0,Adelaide 2,183.0,188.0,R,L
2023-01-09,Hard,200221,206909,4.0,6.0,32.0,47.0,Adelaide 2,183.0,188.0,R,R
2023-01-09,Hard,126205,106331,6.0,7.0,35.0,79.0,Adelaide 2,185.0,183.0,R,R
2023-01-09,Hard,207733,132283,2.0,2.0,40.0,44.0,Adelaide 2,193.0,191.0,L,R
2023-01-09,Hard,144817,126239,11.0,11.0,55.0,45.0,Adelaide 2,196.0,196.0,L,R
2023-01-09,Hard,111456,105554,8.0,2.0,63.0,27.0,Adelaide 2,178.0,175.0,R,R
2023-01-09,Hard,144707,200325,1.0,4.0,77.0,46.0,Adelaide 2,183.0,188.0,R,R
2023-01-09,Hard,126952,207830,6.0,5.0,84.0,115.0,Adelaide 2,180.0,183.0,R,R
2023-01-16,Hard,104745,207733,6.0,13.0,2.0,38.0,Australian Open,185.0,193.0,L,L
2023-01-16,Hard,111456,206909,14.0,19.0,65.0,49.0,Australian Open,178.0,188.0,R,R
2023-01-16,Hard,207494,144719,0.0,7.0,216.0,64.0,Australian Open,178.0,183.0,R,R
2023-01-16,Hard,106415,144707,1.0,6.0,33.0,69.0,Australian Open,170.0,183.0,L,R
2023-01-16,Hard,111575,126523,11.0,1.0,20.0,72.0,Australian Open,198.0,183.0,R,R
